STATE,District Name,Market Name,Commodity,Variety,Grade
Himachal Pradesh,hamirpur,Maudaha,Wheat,Dara,FAQ
 Punjab,fazilka,Abohar,Onion,Onion,FAQ
Madhya Pradesh,raisen,Begamganj,Wheat,Other,FAQ
Uttar Pradesh,meerut,Meerut,Onion,Red,FAQ
Uttar Pradesh,jaunpur,Jaunpur,Wheat,Dara,FAQ
West Bengal,birbhum,Bolpur,Potato,Jyoti,FAQ
Maharashtra,amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ
Madhya Pradesh,khandwa,Khandwa(F&V),Onion,Onion,FAQ
Uttar Pradesh,etawah,Bharthna,Potato,Desi,FAQ
Kerala,kottayam,Kottayam,Potato,Potato,FAQ
Haryana,sonipat,Sonepat,Tomato,Hybrid,FAQ
Maharashtra,amarawati,Amarawati,Wheat,Other,FAQ
Haryana,gurgaon,Sohna,Tomato,Tomato,FAQ
Uttar Pradesh,firozabad,Sirsaganj,Tomato,Hybrid,FAQ
Himachal Pradesh,hamirpur,Hamirpur,Potato,Desi,FAQ
Madhya Pradesh,rajgarh,Biaora,Potato,(Red Nanital),FAQ
Kerala,alappuzha,Kayamkulam,Onion,Big,FAQ
Madhya Pradesh,morena,Kailaras,Wheat,MP(Desi),FAQ
Punjab,moga,Kot ise Khan,Potato,Other,FAQ
Uttar Pradesh,fatehpur,Khaga,Onion,Red,FAQ
Kerala,alappuzha,Kayamkulam,Onion,Small,FAQ
Haryana,mewat,Tauru,Tomato,Tomato,FAQ
Uttar Pradesh,mathura,Mathura,Tomato,Deshi,FAQ
Madhya Pradesh,mandsaur,Mandsaur(F&V),Tomato,Other,FAQ
Gujarat,porbandar,Porbandar,Tomato,Deshi,FAQ
Madhya Pradesh,datia,Datia,Wheat,Other,FAQ
Maharashtra,pune,Junnar(Alephata),Onion,Other,FAQ
Madhya Pradesh,hoshangabad,Banapura,Wheat,Mill Quality,FAQ
Karnataka,mandya,K.R. Pet,Onion,Onion,FAQ
Uttar Pradesh,lucknow,Lucknow,Tomato,Deshi,FAQ
Haryana,sonipat,Ganaur,Tomato,Tomato,FAQ
Madhya Pradesh,shajapur,Agar,Wheat,Other,FAQ
Maharashtra,akola,Akola,Wheat,Other,FAQ
Uttar Pradesh,ballia,Ballia,Wheat,Dara,FAQ
Rajasthan,baran,Baran,Wheat,Other,FAQ
Kerala,kottayam,Kanjirappally,Onion,Big,FAQ
Uttar Pradesh,etah,Awagarh,Onion,Red,FAQ
Rajasthan,tonk,Tonk,Tomato,Deshi,FAQ
Gujarat,rajkot,Dhoraji,Wheat,Lokwan,FAQ
Haryana,yamuna nagar,Sadhaura,Tomato,Tomato,FAQ
Madhya Pradesh,shivpuri,Karera,Wheat,Other,FAQ
Assam,lakhimpur,Lakhimpur,Onion,Red,FAQ
Uttar Pradesh,barabanki,Safdarganj,Tomato,Hybrid,FAQ
Madhya Pradesh,dhar,Kukshi,Onion,Onion,FAQ
Haryana,fatehabad,Ratia,Potato,Other,FAQ
Rajasthan,bhilwara,Bhilwara,Wheat,Other,FAQ
West Bengal,nadia,Ranaghat,Potato,Jyoti,FAQ
Andhra Pradesh,mahbubnagar,Shadnagar,Tomato,Deshi,FAQ
Karnataka,bangalore,Bangalore,Onion,Onion,FAQ
Uttar Pradesh,unnao,Bangarmau,Onion,Red,FAQ
Uttar Pradesh,etawah,Bharthna,Tomato,Hybrid,FAQ
Madhya Pradesh,shivpuri,Shivpuri(F&V),Tomato,Other,FAQ
West Bengal,kolkata,Bara Bazar (Posta Bazar),Onion,Other,FAQ
Rajasthan,sikar,Sikar,Tomato,Deshi,FAQ
Madhya Pradesh,chhindwara,Chhindwara(F&V),Potato,Desi,FAQ
Haryana,bhiwani,Ch. Dadri,Tomato,Other,FAQ
Karnataka,chikmagalur,Chikkamagalore,Potato,Other,FAQ
Uttar Pradesh,bulandshahar,Buland Shahr,Tomato,Deshi,FAQ
Uttar Pradesh,jhansi,Mauranipur,Onion,Red,FAQ
Rajasthan,dausa,Bandikui(Geejgarh),Wheat,Other,FAQ
Orissa,rayagada,Rayagada,Potato,Other,FAQ
Uttar Pradesh,baghpat,Baraut,Tomato,Deshi,FAQ
Kerala,kottayam,Kottayam,Onion,Big,FAQ
Maharashtra,nashik,Lasalgaon(Niphad),Onion,Other,FAQ
Uttar Pradesh,sitapur,Hargaon (Laharpur),Wheat,Dara,FAQ
Uttar Pradesh,amethi,Jafarganj,Wheat,Dara,FAQ
Orissa,bargarh,Bargarh(Barapalli),Potato,Other,FAQ
West Bengal,nadia,Chakdah,Tomato,Hybrid,FAQ
Uttar Pradesh,unnao,Bangarmau,Wheat,Dara,FAQ
West Bengal,birbhum,Birbhum,Tomato,Other,FAQ
Uttar Pradesh,basti,Basti,Potato,Desi,FAQ
Uttar Pradesh,sambhal,Sambhal,Tomato,Deshi,FAQ
Jammu & Kashmir,kathua,Kathua,Tomato,Other,FAQ
Rajasthan,bundi,Keshoraipatan,Wheat,Other,FAQ
Uttar Pradesh,bareilly,Bareilly,Tomato,Deshi,FAQ
Madhya Pradesh,raisen,Bareli,Wheat,Other,FAQ
Maharashtra,sholapur,Barshi,Wheat,Other,FAQ
Kerala,alappuzha,Chengannur,Onion,Onion,FAQ
West Bengal,hooghly,Champadanga,Potato,Jyoti,FAQ
Rajasthan,chittorgarh,Chittorgarh,Onion,Other,FAQ
Uttar Pradesh,aligarh,Atrauli,Wheat,Dara,FAQ
Uttar Pradesh,badaun,Badayoun,Wheat,Dara,FAQ
Uttar Pradesh,jaunpur,Jaunpur,Tomato,Hybrid,FAQ
Maharashtra,mumbai,Mumbai,Tomato,Other,FAQ
Kerala,malappuram,Parappanangadi,Potato,Other,FAQ
Madhya Pradesh,rewa,Hanumana,Wheat,Other,FAQ
Andhra Pradesh,nalgonda,Venkateswarnagar,Tomato,Local,FAQ
Gujarat,anand,"Anand(Veg,Yard,Anand)",Onion,Onion,FAQ
Rajasthan,hanumangarh,Hanumangarh(Urlivas),Wheat,Other,FAQ
Andhra Pradesh,hyderabad,Bowenpally,Onion,1st Sort,FAQ
West Bengal,nadia,Karimpur,Potato,Jyoti,FAQ
West Bengal,alipurduar,Falakata,Potato,Red,FAQ
Maharashtra,satara,Satara,Tomato,Other,FAQ
Himachal Pradesh,shimla,Shimla,Tomato,Deshi,FAQ
Karnataka,bellary,Hospet,Onion,Local,FAQ
Karnataka,dharwad,Hubli (Amaragol),Onion,Telagi,FAQ
Uttar Pradesh,barabanki,Barabanki,Onion,Red,FAQ
West Bengal,hooghly,Sheoraphuly,Tomato,Other,FAQ
Maharashtra,sangli,Islampur,Tomato,Other,FAQ
Madhya Pradesh,jabalpur,Jabalpur(F&V),Onion,Local,FAQ
Madhya Pradesh,chhatarpur,Harpalpur,Wheat,Other,FAQ
Kerala,thiruvananthapuram,Attingal,Tomato,Other,FAQ
Uttar Pradesh,agra,Jagnair,Wheat,Dara,FAQ
Uttar Pradesh,etah,Awagarh,Tomato,Hybrid,FAQ
Maharashtra,hingoli,Hingoli,Wheat,Sharbati,FAQ
Haryana,kurukshetra,Thanesar,Potato,Potato,FAQ
Uttar Pradesh,balrampur,Tulsipur,Tomato,Deshi,FAQ
Uttar Pradesh,badaun,Shahaswan,Onion,Red,FAQ
Himachal Pradesh,shimla,Shimla,Onion,1st Sort,FAQ
Uttar Pradesh,lalitpur,Lalitpur,Onion,Red,FAQ
West Bengal,north 24 parganas,Habra,Onion,Other,FAQ
West Bengal,north 24 parganas,Barasat,Onion,Other,FAQ
Rajasthan,churu,Sujangarh,Tomato,Deshi,FAQ
Haryana,kurukshetra,Ladwa,Onion,Onion,FAQ
Uttar Pradesh,ghaziabad,Hapur,Onion,Red,FAQ
Karnataka,mysore,T. Narasipura,Tomato,Hybrid,FAQ
Rajasthan,hanumangarh,Hanumangarh,Wheat,Other,FAQ
Maharashtra,wardha,Hinganghat,Wheat,Other,FAQ
Uttar Pradesh,prayagraj,Sirsa,Onion,Red,FAQ
Himachal Pradesh,hamirpur,Hamirpur(Nadaun),Tomato,Other,FAQ
Uttar Pradesh,banda,Baberu,Tomato,Hybrid,FAQ
Madhya Pradesh,hoshangabad,Hoshangabad,Wheat,Other,FAQ
Uttar Pradesh,fatehpur,Jahanabad,Wheat,Other,FAQ
Madhya Pradesh,jabalpur,Jabalpur,Wheat,Medium Fine,FAQ
Uttar Pradesh,bulandshahar,Jahangirabad,Wheat,Dara,FAQ
Madhya Pradesh,khargone,Karhi,Wheat,Other,FAQ
Rajasthan,baran,Kawai Salpura (Atru),Wheat,Other,FAQ
Chattisgarh,janjgir,Champa,Wheat,Other,FAQ
Madhya Pradesh,khargone,Khargone,Wheat,Other,FAQ
Maharashtra,satara,Karad,Tomato,Other,FAQ
Orissa,ganjam,Digapahandi,Potato,Other,FAQ
Madhya Pradesh,sagar,Bina,Wheat,Sharbati,FAQ
West Bengal,jalpaiguri,Moynaguri,Onion,Other,FAQ
Orissa,kendrapara,Kendrapara,Tomato,Tomato,FAQ
Punjab,muktsar,Muktsar,Onion,Nasik,FAQ
Himachal Pradesh,hamirpur,Muskara,Onion,Red,FAQ
Karnataka,bangalore,Bangalore,Onion,Local,FAQ
Uttar Pradesh,jaunpur,Shahganj,Tomato,Hybrid,FAQ
Uttar Pradesh,badaun,Shahaswan,Tomato,Deshi,FAQ
Maharashtra,raigad,Karjat(Raigad),Wheat,Other,FAQ
West Bengal,jalpaiguri,Jalpaiguri Sadar,Tomato,Other,FAQ
Punjab,moga,Dharamkot,Potato,Other,FAQ
Himachal Pradesh,kangra,Kangra(Jaisinghpur),Tomato,Tomato,FAQ
Rajasthan,udaipur,Udaipur (F&V),Tomato,Other,FAQ
Nagaland,mokokchung,Mangkolemba,Onion,Other,FAQ
Madhya Pradesh,indore,Sanwer,Potato,Other,FAQ
Uttar Pradesh,rampur,Rampur,Onion,Red,FAQ
West Bengal,birbhum,Rampurhat,Onion,Nasik,FAQ
Bihar,sheikhpura,Shekhpura,Tomato,Deshi,FAQ
Uttar Pradesh,etawah,Etawah,Potato,Desi,FAQ
West Bengal,paschim bardhaman,Durgapur,Potato,Other,FAQ
Madhya Pradesh,sagar,Jaisinagar,Wheat,Mill Quality,FAQ
Madhya Pradesh,indore,Sanwer,Tomato,Other,FAQ
Punjab,ludhiana,Samrala,Tomato,Other,FAQ
Madhya Pradesh,khargone,Khargone,Potato,(Red Nanital),FAQ
Haryana,panchkula,Raipur Rai,Tomato,Other,FAQ
Kerala,malappuram,Thirurrangadi,Onion,Other,FAQ
Uttar Pradesh,prayagraj,Jasra,Wheat,Dara,FAQ
Madhya Pradesh,neemuch,Javad,Wheat,Other,FAQ
Madhya Pradesh,shajapur,Kalapipal,Wheat,Lokwan,FAQ
Delhi,delhi,Shahdara,Potato,Potato,FAQ
Uttar Pradesh,balrampur,Balrampur,Onion,Red,FAQ
Karnataka,chikmagalur,Kadur,Tomato,Tomato,FAQ
Madhya Pradesh,mandsaur,Mandsaur,Onion,Onion,FAQ
Maharashtra,ahmednagar,Rahuri,Wheat,Other,FAQ
West Bengal,bankura,Bankura Sadar,Onion,Nasik,FAQ
Kerala,idukki,Thodupuzha,Potato,Other,FAQ
Orissa,nayagarh,Bahadajholla,Potato,Other,FAQ
Madhya Pradesh,hoshangabad,Semriharchand,Wheat,Other,FAQ
Kerala,kottayam,Kottayam,Tomato,Tomato,FAQ
Uttar Pradesh,deoria,Devariya,Wheat,Dara,FAQ
Haryana,rewari,Kosli,Tomato,Other,FAQ
Gujarat,amreli,Dhari,Wheat,Lokwan Gujrat,FAQ
Madhya Pradesh,bhopal,Bhopal,Wheat,MP Sharbati,FAQ
Uttar Pradesh,pratapgarh,Pratapgarh,Onion,Red,FAQ
Kerala,ernakulam,Ernakulam,Onion,Big,FAQ
Kerala,kottayam,Ettumanoor,Onion,Onion,FAQ
Uttar Pradesh,sitapur,Hargaon (Laharpur),Potato,Local,FAQ
Jammu and Kashmir,anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ
Uttar Pradesh,hardoi,Hardoi,Potato,Kufri Megha,FAQ
Uttar Pradesh,badaun,Dataganj,Wheat,Dara,FAQ
Uttar Pradesh,jaunpur,Shahganj,Wheat,Dara,FAQ
Maharashtra,ahmednagar,Shevgaon,Wheat,Maharashtra 2189,FAQ
Uttar Pradesh,etah,Etah,Onion,Red,FAQ
Punjab,moga,Baghapurana,Potato,Other,FAQ
Haryana,gurgaon,Farukh Nagar,Potato,Other,FAQ
Rajasthan,pratapgarh,Pratapgarh,Onion,Red,FAQ
Kerala,thiruvananthapuram,Pothencode,Onion,Other,FAQ
Maharashtra,ahmednagar,Rahuri(Vambori),Wheat,Other,FAQ
Kerala,kottayam,Pampady,Potato,Other,FAQ
Gujarat,rajkot,Rajkot,Wheat,Sharbati,FAQ
Madhya Pradesh,chhatarpur,Rajnagar,Wheat,Mill Quality,FAQ
Uttar Pradesh,basti,Basti,Tomato,Hybrid,FAQ
Himachal Pradesh,kangra,Palampur,Potato,Other,FAQ
Uttar Pradesh,ballia,Ballia,Tomato,Hybrid,FAQ
Madhya Pradesh,shajapur,Kalapipal,Onion,Other,FAQ
Andhra Pradesh,hyderabad,Mahboob Manison,Tomato,Deshi,FAQ
Andhra Pradesh,mahbubnagar,Mahabubnagar(Rythu Bazar),Tomato,Deshi,FAQ
Uttar Pradesh,gonda,Nawabganj,Onion,Red,FAQ
Karnataka,hassan,Hassan,Potato,Potato,FAQ
Uttar Pradesh,etah,Awagarh,Potato,Desi,FAQ
Himachal Pradesh,hamirpur,Bharuasumerpur,Tomato,Local,FAQ
Uttar Pradesh,agra,Fatehabad,Potato,Desi,FAQ
Uttar Pradesh,gorakhpur,Chorichora,Onion,Red,FAQ
Jammu & Kashmir,udhampur,Udhampur,Tomato,Other,FAQ
Uttar Pradesh,chandauli,Chandoli,Tomato,Hybrid,FAQ
Rajasthan,rajsamand,Rajsamand,Onion,Onion,FAQ
Uttar Pradesh,maharajganj,Gadaura,Potato,Red,FAQ
Punjab,hoshiarpur,Garh Shankar,Potato,Potato,FAQ
Madhya Pradesh,shajapur,Susner,Wheat,Other,FAQ
Andhra Pradesh,hyderabad,Gudimalkapur,Onion,1st Sort,FAQ
Madhya Pradesh,rajgarh,Suthalia,Wheat,Other,FAQ
Uttar Pradesh,barabanki,Safdarganj,Onion,Red,FAQ
Rajasthan,bhilwara,Gulabpura,Wheat,Other,FAQ
West Bengal,paschim bardhaman,Durgapur,Wheat,Kalyan,FAQ
Haryana,panchkula,Barwala,Tomato,Other,FAQ
Madhya Pradesh,sheopur,Syopurkalan(F&V),Tomato,Other,FAQ
Bihar,supaul,Birpur,Potato,Local,FAQ
Uttar Pradesh,bahraich,Naanpara,Potato,Desi,FAQ
Punjab,ludhiana,Samrala,Onion,Other,FAQ
Uttar Pradesh,agra,Samsabad,Onion,Red,FAQ
Uttar Pradesh,mainpuri,Ghiraur,Tomato,Hybrid,FAQ
Haryana,sonipat,Gohana,Tomato,Tomato,FAQ
Rajasthan,hanumangarh,Hanumangarh Town,Wheat,Other,FAQ
Uttar Pradesh,ghaziabad,Hapur,Wheat,Dara,FAQ
Rajasthan,ganganagar,Sriganganagar (Grain),Wheat,Other,FAQ
Maharashtra,satara,Satara,Onion,Other,FAQ
Haryana,karnal,Gharaunda,Potato,Other,FAQ
Madhya Pradesh,dhar,Dhar(F&V),Tomato,Other,FAQ
Karnataka,chikmagalur,Chikkamagalore,Tomato,Tomato,FAQ
West Bengal,paschim bardhaman,Durgapur,Wheat,Other,FAQ
Maharashtra,dhule,Dondaicha,Wheat,Other,FAQ
Haryana,rewari,Kosli,Onion,Other,FAQ
Haryana,kurukshetra,Ladwa,Tomato,Tomato,FAQ
West Bengal,puruliya,Balarampur,Potato,Other,FAQ
Chhattisgarh,bilaspur,Tiphra,Tomato,Other,FAQ
Kerala,ernakulam,Thrippunithura,Tomato,Tomato,FAQ
Karnataka,bangalore,Bangalore,Potato,Potato,FAQ
Karnataka,gadag,Gadag,Wheat,White,FAQ
Karnataka,davangere,Davangere,Tomato,Tomato,FAQ
Rajasthan,ganganagar,Gajsinghpur,Wheat,Other,FAQ
Uttar Pradesh,deoria,Devariya,Tomato,Hybrid,FAQ
Uttar Pradesh,mainpuri,Ghiraur,Wheat,Dara,FAQ
Uttar Pradesh,maharajganj,Partaval,Onion,Red,FAQ
Haryana,kaithal,Dhand,Tomato,Deshi,FAQ
West Bengal,jalpaiguri,Dhupguri,Onion,Onion,FAQ
Madhya Pradesh,vidisha,Sironj,Wheat,Other,FAQ
Jammu & Kashmir,jammu,Batote,Potato,Other,FAQ
Punjab,sangrur,Malerkotla,Onion,Other,FAQ
Haryana,fatehabad,Jakhal,Tomato,Other,FAQ
Punjab,faridkot,Faridkot,Onion,Onion,FAQ
Madhya Pradesh,indore,Sanwer,Wheat,Other,FAQ
Madhya Pradesh,ujjain,Khachrod,Wheat,Lokwan,FAQ
Uttar Pradesh,barabanki,Safdarganj,Wheat,Dara,FAQ
Rajasthan,sikar,Sikar,Potato,(Red Nanital),FAQ
Uttar Pradesh,sonbhadra,Robertsganj,Wheat,Dara,FAQ
Rajasthan,jalore,Jalore,Potato,Other,FAQ
Uttar Pradesh,unnao,Purwa,Onion,Red,FAQ
Nagaland,kohima,Jalukie,Potato,Other,FAQ
Madhya Pradesh,dewas,Khategaon,Wheat,Other,FAQ
Uttar Pradesh,prayagraj,Jasra,Potato,Desi,FAQ
Assam,lakhimpur,Golagokarnath,Onion,Red,FAQ
Madhya Pradesh,raisen,Raisen,Wheat,Other,FAQ
Karnataka,bangalore,Ramanagara,Onion,Onion,FAQ
Madhya Pradesh,harda,Khirakiya,Wheat,147 Average,FAQ
Uttar Pradesh,badaun,Bilsi,Onion,Red,FAQ
Punjab,patiala,Rajpura,Onion,Local,FAQ
Madhya Pradesh,shivpuri,Shivpuri,Wheat,Other,FAQ
Maharashtra,ahmednagar,Jamkhed,Wheat,Other,FAQ
Maharashtra,ahmednagar,Jamkhed,Wheat,Maharashtra 2189,FAQ
Haryana,kurukshetra,Thanesar,Onion,Other,FAQ
Kerala,kollam,Anchal,Tomato,Other,FAQ
Madhya Pradesh,harda,Timarni,Potato,Potato,FAQ
Uttar Pradesh,baghpat,Khekda,Potato,Potato,FAQ
 Punjab,fazilka,Abohar,Tomato,Tomato,FAQ
Haryana,kurukshetra,Pipli,Onion,Red,FAQ
Maharashtra,sholapur,Barshi(Vairag),Wheat,Other,FAQ
Madhya Pradesh,shajapur,Berachha,Wheat,Other,FAQ
Maharashtra,pune,Pune,Onion,Local,FAQ
Uttar Pradesh,varanasi,Varanasi,Wheat,Dara,FAQ
Madhya Pradesh,ratlam,Ratlam(F&V),Onion,Other,FAQ
Madhya Pradesh,katni,Katni,Wheat,Other,FAQ
Orissa,rayagada,Rayagada,Onion,Other,FAQ
Haryana,sirsa,Ellanabad,Onion,Local,FAQ
Haryana,rewari,Rewari,Onion,Other,FAQ
Rajasthan,ganganagar,Sri Karanpur,Wheat,Other,FAQ
Uttar Pradesh,balrampur,Tulsipur,Onion,Red,FAQ
Madhya Pradesh,jhabua,Petlawad,Wheat,Lokwan,FAQ
Uttar Pradesh,fatehpur,Jahanabad,Potato,Local,FAQ
Maharashtra,parbhani,Parbhani,Wheat,Other,FAQ
Maharashtra,nashik,Kalvan,Onion,Other,FAQ
Uttar Pradesh,ghazipur,Gazipur,Onion,Red,FAQ
Maharashtra,sholapur,Karmala,Wheat,Other,FAQ
Himachal Pradesh,mandi,Mandi(Mandi),Potato,Potato,FAQ
Punjab,sangrur,Malerkotla,Potato,Other,FAQ
Gujarat,surendranagar,Vadhvan,Potato,Potato,FAQ
West Bengal,howrah,Uluberia,Potato,Jyoti,FAQ
Maharashtra,beed,Majalgaon,Wheat,Other,FAQ
Madhya Pradesh,mandsaur,Mandsaur(F&V),Potato,Other,FAQ
Uttar Pradesh,mainpuri,Ghiraur,Onion,Red,FAQ
Maharashtra,ahmednagar,Shrirampur,Onion,Other,FAQ
Uttar Pradesh,firozabad,Tundla,Potato,Local,FAQ
Uttar Pradesh,balrampur,Tulsipur,Potato,Desi,FAQ
Madhya Pradesh,indore,Indore,Wheat,Lokwan,FAQ
Karnataka,dharwad,Hubli (Amaragol),Wheat,Jawari,FAQ
Madhya Pradesh,vidisha,Lateri,Wheat,Sharbati,FAQ
West Bengal,hooghly,Sheoraphuly,Onion,Nasik,FAQ
Gujarat,rajkot,Jetpur(Dist.Rajkot),Wheat,Other,FAQ
Uttar Pradesh,fatehpur,Khaga,Wheat,Dara,FAQ
Madhya Pradesh,khandwa,Khandwa,Wheat,Lok-1,FAQ
Madhya Pradesh,shivpuri,Khaniadhana,Wheat,Lokwan,FAQ
Uttar Pradesh,sambhal,Sambhal,Onion,Red,FAQ
Madhya Pradesh,sagar,Shahagarh,Wheat,Mill Quality,FAQ
West Bengal,birbhum,Bolpur,Onion,Onion,FAQ
Maharashtra,wardha,Wardha,Onion,Local,FAQ
Jammu and Kashmir,anantnag,Kulgam,Potato,Potato,FAQ
Madhya Pradesh,sagar,Khurai,Wheat,MP Sharbati,FAQ
Rajasthan,bharatpur,Nadwai,Wheat,Other,FAQ
Madhya Pradesh,shivpuri,Kolaras,Wheat,Other,FAQ
Orissa,keonjhar,Saharpada,Potato,Other,FAQ
Uttar Pradesh,mirzapur,Mirzapur,Wheat,Dara,FAQ
Uttar Pradesh,sonbhadra,Robertsganj,Potato,Badshah,FAQ
Rajasthan,jodhpur,Jodhpur (F&V),Potato,Other,FAQ
Madhya Pradesh,vidisha,Lateri,Wheat,Lokwan,FAQ
Haryana,kaithal,Kaithal,Potato,(Red Nanital),FAQ
Gujarat,jamnagar,Kalawad,Wheat,Other,FAQ
Madhya Pradesh,narsinghpur,Kareli,Wheat,Deshi,FAQ
Madhya Pradesh,bhind,Lahar,Wheat,Other,FAQ
Haryana,sirsa,kalanwali,Potato,Other,FAQ
Uttar Pradesh,bulandshahar,Anoop Shahar,Tomato,Deshi,FAQ
Kerala,idukki,Adimali,Tomato,Hybrid,FAQ
Uttar Pradesh,agra,Agra,Tomato,Hybrid,FAQ
Haryana,gurgaon,Pataudi,Potato,Other,FAQ
West Bengal,hooghly,Pandua,Onion,Nasik,FAQ
Uttar Pradesh,mirzapur,Ahirora,Tomato,Hybrid,FAQ
Rajasthan,sirohi,Abu Road,Tomato,Other,FAQ
Madhya Pradesh,indore,Mhow,Onion,1st Sort,FAQ
Uttar Pradesh,mirzapur,Mirzapur,Onion,Red,FAQ
Uttar Pradesh,bareilly,Anwala,Tomato,Deshi,FAQ
Punjab,patiala,Patran,Potato,Other,FAQ
Karnataka,dharwad,Hubli (Amaragol),Potato,Potato,FAQ
Madhya Pradesh,alirajpur,Alirajpur(F&V),Tomato,Deshi,FAQ
Uttar Pradesh,sitapur,Mehmoodabad,Potato,Potato,FAQ
Gujarat,rajkot,Gondal,Wheat,Lokwan,FAQ
Uttar Pradesh,jaunpur,Shahganj,Onion,Red,FAQ
Rajasthan,ganganagar,Padampur,Wheat,Other,FAQ
Bihar,sheikhpura,Shekhpura,Onion,1st Sort,FAQ
Uttar Pradesh,amethi,Jafarganj,Potato,Badshah,FAQ
Uttar Pradesh,sambhal,Muradabad,Onion,Red,FAQ
Rajasthan,baran,Atru,Wheat,Other,FAQ
Karnataka,chikmagalur,Bagepalli,Onion,Beelary-Red,FAQ
Orissa,dhenkanal,Hindol,Potato,Potato,FAQ
Maharashtra,ahmednagar,Rahata,Wheat,Other,FAQ
Uttar Pradesh,mathura,Mathura,Onion,Red,FAQ
Himachal Pradesh,hamirpur,Maudaha,Onion,Red,FAQ
Haryana,gurgaon,Gurgaon,Onion,Other,FAQ
Punjab,amritsar,Amritsar(Amritsar Mewa Mandi),Tomato,Tomato,FAQ
Karnataka,kolar,Bangarpet,Tomato,Tomato,FAQ
Maharashtra,nagpur,Nagpur,Wheat,Other,FAQ
West Bengal,puruliya,Balarampur,Tomato,Other,FAQ
Uttar Pradesh,etawah,Etawah,Wheat,Dara,FAQ
Haryana,ambala,Ambala City(Subji Mandi),Tomato,Other,FAQ
Uttar Pradesh,badaun,Badayoun,Onion,Nasik,FAQ
Maharashtra,parbhani,Gangakhed,Wheat,Other,FAQ
Madhya Pradesh,indore,Gautampura,Wheat,147 Average,FAQ
Madhya Pradesh,dhar,Badnawar(F&V),Onion,Onion,FAQ
Gujarat,ahmedabad,Ahmedabad,Tomato,Other,FAQ
Haryana,kurukshetra,Shahabad,Onion,Onion,FAQ
Haryana,palwal,Hassanpur,Potato,Potato,FAQ
Gujarat,jamnagar,Jam Jodhpur,Wheat,Other,FAQ
Gujarat,rajkot,Jasdan,Wheat,2189 No. 1,FAQ
Haryana,yamuna nagar,Jagadhri,Potato,Other,FAQ
Madhya Pradesh,rajgarh,Jeerapur,Wheat,Other,FAQ
Madhya Pradesh,tikamgarh,Khargapur,Wheat,Mill Quality,FAQ
Karnataka,udupi,Udupi,Potato,Potato,FAQ
Gujarat,bharuch,Jambusar,Wheat,Other,FAQ
Maharashtra,sholapur,Pandharpur,Onion,Red,FAQ
Madhya Pradesh,shivpuri,Khatora,Wheat,Other,FAQ
Madhya Pradesh,damoh,Patharia,Wheat,Lokwan MP No. 1,FAQ
Rajasthan,alwar,Alwar (F&V),Tomato,Other,FAQ
Madhya Pradesh,hoshangabad,Hoshangabad,Potato,Desi,FAQ
Madhya Pradesh,hoshangabad,Pipariya,Wheat,Other,FAQ
Uttar Pradesh,aligarh,Aligarh,Tomato,Hybrid,FAQ
Andhra Pradesh,adilabad,Adilabad(Rythu Bazar),Tomato,Other,FAQ
Haryana,gurgaon,Sohna,Potato,Potato,FAQ
Punjab,faridkot,Jaitu,Onion,Nasik,FAQ
Haryana,panchkula,Raipur Rai,Onion,Other,FAQ
Uttar Pradesh,baghpat,Baraut,Onion,Onion,FAQ
Gujarat,rajkot,Jetpur(Dist.Rajkot),Wheat,Lokwan,FAQ
Punjab,sangrur,Ahmedgarh,Tomato,Other,FAQ
Haryana,sonipat,Sonepat(Kharkhoda),Onion,Other,FAQ
Jammu & Kashmir,kathua,Kathua,Potato,Potato,FAQ
Rajasthan,ganganagar,Kesarisinghpur,Wheat,Other,FAQ
Orissa,angul,Angul,Tomato,Other,FAQ
Haryana,ambala,Naraingarh,Onion,Onion,FAQ
Madhya Pradesh,alirajpur,Jobat,Wheat,Other,FAQ
Uttar Pradesh,auraiya,Achalda,Tomato,Hybrid,FAQ
Uttar Pradesh,prayagraj,Allahabad,Tomato,Deshi,FAQ
Uttar Pradesh,balrampur,Balrampur,Wheat,Dara,FAQ
Maharashtra,amarawati,Amrawati(Frui & Veg. Market),Tomato,Local,FAQ
West Bengal,murshidabad,Kandi,Potato,Jyoti,FAQ
West Bengal,alipurduar,Alipurduar,Tomato,Other,FAQ
Madhya Pradesh,shivpuri,Barad,Wheat,Mill Quality,FAQ
Haryana,mewat,Punhana,Onion,Other,FAQ
Uttar Pradesh,azamgarh,Azamgarh,Tomato,Hybrid,FAQ
Delhi,delhi,Azadpur,Tomato,Tomato,FAQ
Kerala,alappuzha,Aroor,Tomato,Other,FAQ
Uttar Pradesh,deoria,Barhaj,Potato,Desi,FAQ
Madhya Pradesh,khargone,Kasrawad,Wheat,Other,FAQ
Orissa,bargarh,Bargarh,Potato,Other,FAQ
Karnataka,chikmagalur,Bagepalli,Tomato,Tomato,FAQ
Madhya Pradesh,jhabua,Thandla,Wheat,147 Average,FAQ
Madhya Pradesh,sagar,Garhakota,Wheat,Other,FAQ
Maharashtra,sholapur,Solapur,Onion,Red,FAQ
Maharashtra,ahmednagar,Jamkhed,Onion,Local,FAQ
Uttar Pradesh,jaunpur,Jaunpur,Onion,Red,FAQ
Uttar Pradesh,jaunpur,Mugrabaadshahpur,Wheat,Dara,FAQ
