STATE,District Name,Market Name,Commodity,Variety,Grade
Uttar Pradesh,aligarh,Khair,Onion,Red,FAQ
Gujarat,bhavnagar,Mahuva(Station Road),Onion,Other,FAQ
Madhya Pradesh,dewas,Dewas(F&V),Potato,Other,FAQ
Haryana,kaithal,Dhand,Potato,Other,FAQ
Orissa,keonjhar,Keonjhar(Dhekikote),Onion,Other,FAQ
Maharashtra,nashik,Malegaon,Wheat,Other,FAQ
Karnataka,davangere,Davangere,Potato,Potato,FAQ
Haryana,rohtak,Rohtak,Tomato,Other,FAQ
Orissa,keonjhar,Saharpada,Tomato,Other,FAQ
Kerala,kottayam,Thalayolaparambu,Onion,Onion,FAQ
Haryana,rohtak,Rohtak,Potato,Other,FAQ
Uttar Pradesh,lalitpur,Lalitpur,Wheat,Dara,FAQ
Jammu & Kashmir,udhampur,Reasi,Potato,Potato,FAQ
Madhya Pradesh,sagar,Sagar(F&V),Tomato,Deshi,FAQ
West Bengal,kolkata,Sealdah Koley Market,Tomato,Other,FAQ
Gujarat,dahod,Limkheda,Wheat,Other,FAQ
Uttar Pradesh,hardoi,Sandila,Tomato,Hybrid,FAQ
Uttar Pradesh,hardoi,Madhoganj,Potato,Badshah,FAQ
Uttar Pradesh,bulandshahar,Buland Shahr,Onion,Red,FAQ
Andhra Pradesh,hyderabad,Mahboob Manison,Potato,(Red Nanital),FAQ
Punjab,patiala,Nabha,Onion,Other,FAQ
Uttar Pradesh,ballia,Rasda,Tomato,Deshi,FAQ
Maharashtra,kolhapur,Kolhapur,Tomato,Other,FAQ
Himachal Pradesh,mandi,Mandi(Takoli),Potato,Other,FAQ
Punjab,ludhiana,Machhiwara,Potato,Other,FAQ
Uttar Pradesh,shahjahanpur,Puwaha,Tomato,Hybrid,FAQ
Gujarat,dahod,Dahod,Wheat,Lokwan,FAQ
Kerala,ernakulam,Piravam,Tomato,Other,FAQ
Orissa,keonjhar,Keonjhar,Onion,Other,FAQ
Haryana,ambala,Barara,Potato,Other,FAQ
Madhya Pradesh,vidisha,Ganjbasoda,Wheat,Lok-1,FAQ
Madhya Pradesh,ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ
Rajasthan,churu,Churu,Tomato,Hybrid,FAQ
Uttar Pradesh,unnao,Unnao,Potato,Desi,FAQ
Maharashtra,nashik,Nandgaon,Wheat,Maharashtra 2189,FAQ
Punjab,jalandhar,Bhogpur,Tomato,Other,FAQ
Uttar Pradesh,kaushambi,Bharwari,Tomato,Deshi,FAQ
Rajasthan,hanumangarh,Hanumangarh(Urlivas),Potato,(Red Nanital),FAQ
Madhya Pradesh,panna,Pawai,Wheat,147 Average,FAQ
Haryana,yamuna nagar,Chhachrauli,Potato,Potato,FAQ
Uttar Pradesh,ghaziabad,Noida,Tomato,Hybrid,FAQ
Haryana,panipat,Madlauda,Onion,Other,FAQ
Rajasthan,chittorgarh,Kapasan,Wheat,Lokwan,FAQ
Uttar Pradesh,maharajganj,Nautnava,Tomato,Hybrid,FAQ
Punjab,muktsar,Malout,Onion,Onion,FAQ
Uttar Pradesh,rampur,Milak,Tomato,Tomato,FAQ
Uttar Pradesh,ballia,Rasda,Wheat,Dara,FAQ
Uttar Pradesh,ballia,Vilthararoad,Potato,Desi,FAQ
Gujarat,surat,Surat,Onion,Other,FAQ
Uttar Pradesh,amethi,Sultanpur,Wheat,Dara,FAQ
Kerala,idukki,Vandiperiyar,Potato,Other,FAQ
Madhya Pradesh,jabalpur,Paatan,Wheat,Deshi,FAQ
Madhya Pradesh,mandsaur,Garoth,Wheat,Other,FAQ
Uttar Pradesh,shahjahanpur,Tilhar,Onion,Red,FAQ
Madhya Pradesh,shajapur,Momanbadodiya,Wheat,Other,FAQ
Uttar Pradesh,balrampur,Balrampur,Potato,Desi,FAQ
Uttar Pradesh,hardoi,Madhoganj,Tomato,Hybrid,FAQ
Haryana,faridabad,Ballabhgarh,Potato,Other,FAQ
Punjab,moga,Moga,Potato,Other,FAQ
Uttar Pradesh,bareilly,Bahedi,Potato,Kufri Megha,FAQ
Karnataka,shimoga,Shimoga,Onion,Onion,FAQ
Uttar Pradesh,rampur,Milak,Wheat,Dara,FAQ
Kerala,idukki,Vandiperiyar,Onion,Big,FAQ
Madhya Pradesh,dhar,Manawar,Onion,Other,FAQ
Nagaland,mokokchung,Mokokchung Town,Potato,Other,FAQ
Uttar Pradesh,bulandshahar,Buland Shahr,Potato,F.A.Q.,FAQ
Uttar Pradesh,badaun,Wazirganj,Tomato,Deshi,FAQ
Kerala,idukki,Vandiperiyar,Tomato,Other,FAQ
West Bengal,jalpaiguri,Moynaguri,Potato,Jyoti,FAQ
Madhya Pradesh,panna,Panna,Wheat,Other,FAQ
Punjab,jalandhar,Mehatpur,Tomato,Local,FAQ
Uttar Pradesh,meerut,Meerut,Tomato,Local,FAQ
